# 2011/10/03 暫定版 by 510
# （Tips文(LOADING_TIP_xx)には改行文字(\n)が必要ですが、現時点で日本語化環境がなく、調整できないため改行が入っていません）
#
# ・異論が出そうな訳
# （怪しげな訳をここにまとめます。「この訳はねえよｗ」みたいなのもあるかと思いますが暫定版ということで許してね。）
#
#   >用語
#   clan=家, Ninja Clans=忍者衆, form a new clan=新たな家を興す
#   (clan) leader=棟梁, vassal=直参, son=男子
#   Daimyo=大名, Kokujin=国人, kokujin title=国人職
#   kuni=国, kori=郡, province=プロヴィンス
#   grant landed title=所領を与える（知行する？）
#   plot=調略
#   {martial, diplomacy, intrigue}skill={武芸,外交,陰謀}能力
#   Master of {Arms, Ceremonies, Guard}={軍事,内政,防衛}担当
#   retinue=寄子, levy=雑兵, raise the levys=雑兵を動員する
#   Samurai=侍（騎馬隊？）, Ashigaru=足軽, Arquebusier=鉄砲隊
#
#   >その他
#   {daimyo, kokujin, leader} of=次の{大名,国人,棟梁}
#   （表示上では"Daimyo of Echigo"のように出現するが、システム上"Daimyo of"と"Echigo"は別のテキストで前後に入れ替えられないための苦肉の策。）
#
#
# ここから text.csv
#
LIEGE_NAME;主君：ｧY$LIEGE$ｧW;Liege: ｧY$LIEGE$ｧW;;;;;;;;;;;;x
CLAN_NAME;ｧY$CLAN$ｧW家;Clan ｧY$CLAN$ｧW;;;;;;;;;;;;x
county_of;次の国人;Kokujin of;;;;;;;;;;;;x
duchy_of;次の大名;Daimyo of;;;;;;;;;;;;x
STAT_MARTIAL;武芸;Martial;;;;;;;;;;;;x
STAT_MARTIAL_DESC;武芸能力は武将にとって重要であり、また軍事担当に与えた仕事の結果にも影響します。;Martial skill is important for generals, and it also affects the outcome of tasks given to your Master of Arms.;;;;;;;;;;;;x
STAT_DIPLOMACY;外交;Diplomacy;;;;;;;;;;;;x
STAT_DIPLOMACY_DESC;外交能力は他キャラクターとの交渉の成功可能性に影響し、また内政担当に与えた仕事の成否にとっても重要です。;Diplomatic skill affects the likelihood of success in negotiations with other characters, and it is important for tasks given to your Master of Ceremonies.;;;;;;;;;;;;x
STAT_INTRIGUE;陰謀;Intrigue;;;;;;;;;;;;x
STAT_INTRIGUE_DESC;陰謀能力は防衛担当にとって最も重要な資質です。高い陰謀能力は、調略の察知や暗殺のような裏工作の成功性を高めます。;Intrigue skill is the primary attribute of your Master of the Guard. High intrigue improves the chances of uncovering plots and carrying out skulduggery, such as assassinations.;;;;;;;;;;;;x
